State Name,Percentage American Indian/Alaska Native,Percentage Asian or Asian/Pacific Islander,Percentage Hispanic,Percentage Black or African American,Percentage White,Percentage Nat Hawaiian or Other Pacific Isl,Percentage Two or More Races
west virginia,0.08,0.66,2.2,4.08,88.62,0.05,4.31
new hampshire,0.22,3.06,6.97,2.09,82.89,0.08,4.69
alabama,0.83,1.48,10.53,31.73,51.87,0.11,3.45
new york,0.73,9.93,29.2,15.76,40.48,0.23,3.64
american samoa,,,,,,,
north carolina,1.05,4.0,20.41,24.78,44.04,0.14,5.59
northern marianas,0.02,33.53,1.16,0.17,0.43,57.67,7.03
pennsylvania,0.18,4.5,14.31,14.33,61.48,0.09,5.12
alaska,21.62,4.96,7.53,2.25,47.15,3.07,13.42
guam,,,,,,,
montana,10.43,0.66,5.85,0.7,77.43,0.18,4.76
south dakota,10.43,1.6,7.96,3.25,70.87,0.13,5.75
south carolina,0.28,1.75,12.71,31.59,47.78,0.12,5.76
new jersey,0.2,10.38,32.75,14.47,38.93,0.22,3.01
virgin islands,0.1,0.69,19.99,77.63,1.3,0.01,0.29
north dakota,8.19,1.39,6.52,5.32,73.68,0.28,4.62
texas,0.33,5.09,52.94,12.81,25.66,0.16,3.02
maryland,0.27,6.74,21.95,32.74,32.89,0.14,5.21
iowa,0.32,2.5,12.52,6.77,72.39,0.57,4.87
new mexico,10.18,1.25,63.5,1.78,20.81,0.12,2.37
massachusetts,0.24,7.33,24.17,9.37,54.24,0.09,4.4
puerto rico,0.04,0.01,99.63,0.03,0.28,0.0,0.0
rhode island,0.74,3.29,29.45,8.95,52.17,0.14,5.08
oklahoma,11.2,2.27,19.82,7.87,45.45,0.44,12.92
oregon,1.18,4.02,25.33,2.31,58.64,0.84,7.19
utah,0.96,1.7,19.63,1.32,71.28,1.65,3.41
nevada,0.77,5.5,44.14,12.22,28.38,1.48,7.48
mississippi,0.22,1.12,4.76,46.99,42.59,0.07,4.25
arkansas,0.59,1.77,14.21,19.41,58.77,1.01,4.25
tennessee,0.16,2.01,13.89,20.64,58.71,0.11,4.48
idaho,0.99,1.11,19.29,1.12,73.79,0.33,3.36
arizona,4.22,3.08,47.59,5.68,34.9,0.37,4.16
illinois,0.25,5.47,27.46,16.44,45.93,0.1,4.19
florida,0.24,2.82,36.38,20.94,35.33,0.18,4.11
nebraska,1.3,2.99,21.12,6.55,63.22,0.16,4.55
louisiana,0.56,1.6,10.64,41.59,41.97,0.08,3.55
bureau of indian education,100.0,0.0,0.0,0.0,0.0,0.0,0.0
washington,1.11,8.71,25.63,4.79,49.14,1.41,8.83
delaware,0.41,4.3,19.0,30.49,40.5,0.15,5.16
michigan,0.59,3.58,8.86,17.83,63.94,0.08,5.12
wyoming,3.12,0.65,14.69,0.83,76.79,0.15,3.76
virginia,0.26,7.52,18.74,21.63,45.01,0.16,6.67
hawaii,0.15,24.64,18.32,1.35,11.18,25.56,18.81
ohio,0.13,2.83,7.33,16.79,66.66,0.1,6.16
kentucky,0.13,1.99,8.81,10.71,73.05,0.17,5.14
vermont,0.25,2.1,3.16,2.6,87.92,0.1,3.88
maine,0.66,1.38,3.23,4.45,86.73,0.1,3.45
wisconsin,1.03,4.22,13.59,8.74,67.17,0.08,5.14
california,0.44,11.55,50.73,4.44,19.77,0.4,5.28
district of columbia,0.14,1.45,17.74,64.05,13.23,0.06,3.26
minnesota,1.72,6.99,10.91,11.71,62.33,0.11,6.22
georgia,0.21,4.65,18.09,36.43,35.88,0.1,4.64
colorado,0.62,3.27,35.28,4.6,50.82,0.3,5.11
indiana,0.17,2.87,14.05,13.08,64.28,0.1,5.45
missouri,0.37,2.1,7.96,15.17,68.54,0.4,5.46
connecticut,0.25,5.22,29.76,12.33,47.79,0.1,4.46
kansas,0.74,2.82,21.43,6.68,61.95,0.24,6.15
